,school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extra,aprroved
0,GP,F,18,U,A,mother,2,2,0,no,no,3,4,0,11,11,88.0,1
1,GP,F,17,U,T,father,1,2,0,no,yes,3,2,9,11,11,94.0,1
2,GP,F,15,U,T,mother,1,2,0,no,yes,3,6,12,13,12,81.0,1
3,GP,F,15,U,T,mother,1,3,0,no,yes,5,0,14,14,14,100.0,1
4,GP,F,16,U,T,father,1,2,0,no,no,5,0,11,13,13,100.0,1
5,GP,M,16,U,T,mother,1,2,0,no,yes,5,6,12,12,13,81.0,1
6,GP,M,16,U,T,mother,1,2,0,no,yes,3,0,13,12,13,100.0,1
7,GP,F,17,U,A,mother,2,2,0,no,no,1,2,10,13,13,94.0,1
8,GP,M,15,U,A,mother,1,2,0,no,yes,1,0,15,16,17,100.0,1
9,GP,M,15,U,T,mother,1,2,0,no,yes,5,0,12,12,13,100.0,1
10,GP,F,15,U,T,mother,1,2,0,no,yes,2,2,14,14,14,94.0,1
11,GP,F,15,U,T,father,3,3,0,no,yes,4,0,10,12,13,100.0,1
12,GP,M,15,U,T,father,1,1,0,no,yes,5,0,12,13,12,100.0,1
13,GP,M,15,U,T,mother,2,2,0,no,yes,3,0,12,12,13,100.0,1
14,GP,M,15,U,A,other,1,3,0,no,yes,3,0,14,14,15,100.0,1
15,GP,F,16,U,T,mother,1,1,0,no,yes,2,6,17,17,17,81.0,1
16,GP,F,16,U,T,mother,1,3,0,no,yes,2,10,13,13,14,69.0,0
17,GP,F,16,U,T,mother,3,2,0,no,no,4,2,13,14,14,94.0,1
18,GP,M,17,U,T,mother,1,1,3,yes,yes,5,2,8,8,7,94.0,0
19,GP,M,16,U,T,father,1,1,0,no,yes,5,6,12,12,12,81.0,1
20,GP,M,15,U,T,mother,1,2,0,no,yes,1,0,12,13,14,100.0,1
21,GP,M,15,U,T,father,1,1,0,yes,yes,5,0,11,12,12,100.0,1
22,GP,M,16,U,T,mother,1,2,0,no,yes,5,0,12,13,14,100.0,1
23,GP,M,16,U,T,mother,2,2,0,no,yes,5,2,10,10,10,94.0,1
24,GP,F,15,R,T,mother,1,3,0,no,yes,5,2,10,11,10,94.0,1
25,GP,F,16,U,T,mother,1,1,0,no,yes,5,6,10,11,12,81.0,1
26,GP,M,15,U,T,mother,1,1,0,no,yes,5,8,11,12,12,75.0,0
27,GP,M,15,U,T,mother,1,1,0,no,yes,1,0,11,11,11,100.0,1
28,GP,M,16,U,A,mother,1,2,0,yes,yes,5,2,12,12,13,94.0,1
29,GP,M,16,U,T,mother,1,2,0,yes,yes,5,4,12,11,12,88.0,1
30,GP,M,15,U,T,mother,1,2,0,yes,yes,5,0,10,11,11,100.0,1
31,GP,M,15,U,T,mother,2,2,0,no,yes,5,2,15,15,15,94.0,1
32,GP,M,15,R,T,mother,1,2,0,no,yes,5,0,13,14,15,100.0,1
33,GP,M,15,U,T,mother,1,2,0,no,yes,2,0,13,12,12,100.0,1
34,GP,M,16,U,T,mother,1,1,0,no,yes,5,4,12,12,12,88.0,1
35,GP,F,15,U,T,father,2,1,0,no,no,5,4,11,11,11,88.0,1
36,GP,M,15,U,T,mother,1,3,0,no,yes,4,0,14,14,14,100.0,1
37,GP,M,16,R,A,mother,2,3,0,no,yes,5,4,13,13,13,88.0,1
38,GP,F,15,R,T,mother,1,3,0,no,yes,5,2,11,12,12,94.0,1
39,GP,F,15,R,T,mother,1,1,0,no,no,2,8,14,13,12,75.0,0
40,GP,F,16,U,T,mother,2,2,0,no,yes,3,16,11,11,10,50.0,0
41,GP,M,15,U,T,other,1,1,0,no,yes,5,8,10,11,11,75.0,0
42,GP,M,15,U,T,father,1,2,0,no,yes,5,0,14,15,15,100.0,1
43,GP,M,15,U,T,father,1,1,0,no,yes,1,0,9,10,10,100.0,1
44,GP,F,16,U,T,father,2,2,1,no,yes,5,14,10,11,11,56.0,0
45,GP,F,15,U,A,mother,1,2,0,yes,yes,5,4,10,11,11,88.0,1
46,GP,F,16,U,A,mother,1,2,0,no,yes,3,6,13,12,13,81.0,1
47,GP,M,16,U,T,mother,1,4,0,no,yes,2,2,17,17,17,94.0,1
48,GP,M,15,U,T,mother,1,2,0,no,no,5,4,11,12,13,88.0,1
49,GP,F,15,U,T,father,1,2,0,no,yes,3,2,13,12,12,94.0,1
50,GP,F,16,U,T,mother,3,2,0,no,yes,4,0,14,13,13,100.0,1
51,GP,F,15,U,T,mother,1,2,0,no,yes,5,0,16,14,16,100.0,1
52,GP,M,15,U,A,father,2,1,0,no,no,5,4,10,9,9,88.0,0
53,GP,F,15,U,T,mother,1,1,0,no,yes,5,0,13,12,12,100.0,1
54,GP,F,15,U,A,mother,1,1,0,no,yes,1,0,13,12,13,100.0,1
55,GP,F,16,U,A,mother,1,2,0,no,yes,2,2,12,13,12,94.0,1
56,GP,F,15,U,A,mother,1,2,0,no,yes,1,0,15,14,15,100.0,1
57,GP,M,15,U,T,mother,1,2,0,no,no,5,8,15,15,16,75.0,0
58,GP,M,15,U,T,father,1,2,0,no,yes,5,0,14,13,14,100.0,1
59,GP,F,16,U,T,mother,1,2,0,yes,yes,5,2,16,15,16,94.0,1
60,GP,F,16,R,T,mother,1,2,0,no,no,4,0,17,16,16,100.0,1
61,GP,F,16,U,T,father,4,1,0,no,yes,5,0,10,10,16,100.0,1
62,GP,F,16,U,T,father,1,2,0,no,yes,1,0,13,13,10,100.0,1
63,GP,F,16,U,T,mother,1,3,0,no,yes,4,0,14,13,13,100.0,1
64,GP,F,15,U,T,father,1,2,0,no,yes,2,0,13,12,12,100.0,1
